,id,type,attributes.marka,attributes.kategoria-pojazdu,attributes.typ,attributes.model,attributes.wariant,attributes.wersja,attributes.rodzaj-pojazdu,attributes.podrodzaj-pojazdu,attributes.przeznaczenie-pojazdu,attributes.pochodzenie-pojazdu,attributes.rodzaj-tabliczki-znamionowej,attributes.sposob-produkcji,attributes.rok-produkcji,attributes.data-pierwszej-rejestracji-w-kraju,attributes.data-ostatniej-rejestracji-w-kraju,attributes.data-rejestracji-za-granica,attributes.pojemnosc-skokowa-silnika,attributes.stosunek-mocy-silnika-do-masy-wlasnej-motocykle,attributes.moc-netto-silnika,attributes.moc-netto-silnika-hybrydowego,attributes.masa-wlasna,attributes.masa-pojazdu-gotowego-do-jazdy,attributes.dopuszczalna-masa-calkowita,attributes.max-masa-calkowita,attributes.dopuszczalna-ladownosc,attributes.max-ladownosc,attributes.dopuszczalna-masa-calkowita-zespolu-pojazdow,attributes.liczba-osi,attributes.dopuszczalny-nacisk-osi,attributes.maksymalny-nacisk-osi,attributes.max-masa-calkowita-przyczepy-z-hamulcem,attributes.max-masa-calkowita-przyczepy-bez-hamulca,attributes.liczba-miejsc-ogolem,attributes.liczba-miejsc-siedzacych,attributes.liczba-miejsc-stojacych,attributes.rodzaj-paliwa,attributes.rodzaj-pierwszego-paliwa-alternatywnego,attributes.rodzaj-drugiego-paliwa-alternatywnego,attributes.srednie-zuzycie-paliwa,attributes.poziom-emisji-co2,attributes.rodzaj-zawieszenia,attributes.wyposazenie-i-rodzaj-urzadzenia-radarowego,attributes.hak,attributes.kierownica-po-prawej-stronie,attributes.kierownica-po-prawej-stronie-pierwotnie,attributes.katalizator-pochlaniacz,attributes.nazwa-producenta,attributes.kod-instytutu-transaportu-samochodowego,attributes.rozstaw-kol-osi-kierowanej-pozostalych-osi,attributes.max-rozstaw-kol,attributes.avg-rozstaw-kol,attributes.min-rozstaw-kol,attributes.redukcja-emisji-spalin,attributes.data-pierwszej-rejestracji,attributes.rodzaj-kodowania-rodzaj-podrodzaj-przeznaczenie,attributes.kod-rodzaj-podrodzaj-przeznaczenie,attributes.data-wyrejestrowania-pojazdu,attributes.przyczyna-wyrejestrowania-pojazdu,attributes.data-wprowadzenia-danych,attributes.rejestracja-wojewodztwo,attributes.rejestracja-gmina,attributes.rejestracja-powiat,attributes.wlasciciel-wojewodztwo,attributes.wlasciciel-powiat,attributes.wlasciciel-gmina,attributes.wlasciciel-wojewodztwo-kod,attributes.wojewodztwo-kod,attributes.poziom-emisji-co2-paliwo-alternatywne-1,links.self
76,7786680583228031,pojazdy,AUDI,13,GE,E-TRON SPORTBACK 55,SBM1JQ1,QE1QE1G1Z01RT31B210GAAEM1,SAMOCHÓD OSOBOWY,HATCHBACK,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2022,FABRYCZNY,2022-03-08,2022-03-08,,,,,,2638,2595.0,3170.0,3170.0,,,4970.0,2.0,17.0,17.0,1800.0,750.0,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,1282,False,,False,False,AUDI AG,002140280000101,,2928.0,2928.0,2928.0,,2022-03-08,1,0302000,,,,LUBELSKIE,KRASNYSTAW,KRASNOSTAWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/7786680583228031
77,8207795676137535,pojazdy,,2,ES8004,ELECTRIC SCOOTER,00,02,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2020,FABRYCZNY,2022-01-05,2022-01-05,,,,,,59,59.0,206.0,,,,,2.0,1.0,1.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,089990000000007,,,,,,2022-01-05,1,0100000,,,,LUBELSKIE,WŁODAWA,WŁODAWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/8207795676137535
78,8654704529893347,pojazdy,RENAULT,13,AG,ZOE,0V0Y,MCLEA0800000,SAMOCHÓD OSOBOWY,HATCHBACK,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2021,FABRYCZNY,2022-02-04,2022-02-04,,,,,,1538,1577.0,1988.0,1988.0,,,,2.0,12.0,12.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,1282,False,,False,False,RENAULT S.A.S.,002260418000032,,1503.0,1502.0,1502.0,,2022-02-04,1,0302000,,,,LUBELSKIE,ŁĘCZNA,ŁĘCZYŃSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/8654704529893347
79,6031735305187220,pojazdy,RENAULT,13,AG,ZOE,AGV,AGVYA0,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2014,FABRYCZNY,2022-02-16,2022-02-16,2014-12-18,,,,,1428,1503.0,1943.0,1943.0,,,,2.0,11.0,11.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,NIE DOTYCZY,,,,,,False,,False,False,RENAULT S.A.S.,002260418000029,,,,,,2014-12-18,1,0302000,,,,LUBELSKIE,KRAŚNIK,KRAŚNICKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/6031735305187220
80,4393056921352702,pojazdy,,2,MDSA01,AGILE,MD45A,MDSAD,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2020,FABRYCZNY,2022-03-24,2022-03-24,,,,,,65,65.0,228.0,,,,,2.0,2.0,2.0,,,2.0,2.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,111040000000001,,,,,,2022-03-24,1,0100000,,,,LUBELSKIE,HRUBIESZÓW,HRUBIESZOWSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/4393056921352702
81,8346555376164075,pojazdy,AUDI,13,FZ,Q4 SPORTBACK 35 E-TRON,SBL1EH1,HE1HE1G1Z01RT021A190GAAEM00,SAMOCHÓD OSOBOWY,HATCHBACK,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2022,FABRYCZNY,2022-03-08,2022-03-08,,,,,,1944,1970.0,2475.0,2475.0,,,3475.0,2.0,14.0,14.0,1000.0,750.0,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,1282,False,,False,False,AUDI AG,002140302000036,,1590.0,1582.0,1574.0,,2022-03-08,1,0302000,,,,LUBELSKIE,LUBLIN,LUBLIN,,,,,06,,https://api.cepik.gov.pl/pojazdy/8346555376164075
82,900844373920797,pojazdy,TESLA,13,003,MODEL 3,E3LD,PQP2S5N,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2022,FABRYCZNY,2022-03-23,2022-03-23,,,,,,1844,1919.0,2232.0,2232.0,,,,2.0,12.0,12.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,1282,False,,False,False,,059690006000078,,1580.0,1580.0,1580.0,,2022-03-23,1,0301000,,,,LUBELSKIE,LUBLIN,LUBLIN,,,,,06,,https://api.cepik.gov.pl/pojazdy/900844373920797
83,5275695749878601,pojazdy,TESLA,13,003,MODEL 3,E6LR,PQB1S5N,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2021,FABRYCZNY,2022-01-12,2022-01-12,,,,239.0,,1760,1835.0,2149.0,2149.0,,,,2.0,12.0,12.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,1282,False,,False,False,,059690006000073,,1580.0,1580.0,1580.0,,2022-01-12,1,0301000,,,,LUBELSKIE,BIAŁA PODLASKA,BIAŁA PODLASKA,,,,,06,,https://api.cepik.gov.pl/pojazdy/5275695749878601
84,5494059640840118,pojazdy,PEUGEOT,11111111,---,ION,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2014,FABRYCZNY,2022-03-21,2022-03-21,2014-04-29,,,35.0,,1065,,1450.0,1450.0,,,,2.0,8.0,8.0,,,4.0,4.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,002250156000000,,,,,,2014-04-29,9,03,,,,LUBELSKIE,LUBLIN,LUBLIN,,,,,06,,https://api.cepik.gov.pl/pojazdy/5494059640840118
85,1000358825775798,pojazdy,RENAULT,0,---,ZOE,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2019,FABRYCZNY,2022-04-22,2022-04-22,2019-08-02,,,53.0,,1500,,1954.0,1954.0,454.0,454.0,,2.0,11.0,11.0,,,5.0,5.0,,ENERGIA ELEKTRYCZNA,,,,,,,False,,False,False,,002260418900001,,,,,,2019-08-02,9,03,,,,LUBELSKIE,BIŁGORAJ,BIŁGORAJSKI,,,,,06,,https://api.cepik.gov.pl/pojazdy/1000358825775798
